Año,Mes,Día,Precio Bolsa Nacional,CEE,CERE,Precio Escasez,Precio Escasez Activación
2000,8,18,49.9022,22.9640,24.4496,,
2000,8,19,49.1522,22.9640,24.4496,,
2000,8,20,42.1939,22.9640,24.4496,,
2000,8,21,50.5272,22.9640,24.4496,,
2000,8,22,58.8584,22.9640,24.4496,,
2000,8,23,59.6522,22.9640,24.4496,,
2000,8,24,55.9648,22.9640,24.4496,,
2000,8,25,53.1521,22.9640,24.4496,,
2000,8,26,57.1937,22.9640,24.4496,,
2000,8,27,40.2355,22.9640,24.4496,,
2000,8,28,51.8189,22.9640,24.4496,,
2000,8,29,56.4438,22.9640,24.4496,,
2000,8,30,55.9853,22.9640,24.4496,,
2000,8,31,56.6940,22.9640,24.4496,,
2000,9,1,64.3572,23.9990,24.9479,,
2000,9,2,61.4072,23.9990,24.9479,,
2000,9,3,42.5737,23.9990,24.9479,,
2000,9,4,38.0324,23.9990,24.9479,,
2000,9,5,66.6156,23.9990,24.9479,,
2000,9,6,65.8657,23.9990,24.9479,,
2000,9,7,35.9454,23.9990,24.9479,,
2000,9,8,61.1158,23.9990,24.9479,,
2000,9,9,53.4905,23.9990,24.9479,,
2000,9,10,43.0786,23.9990,24.9479,,
2000,9,11,54.1530,23.9990,24.9479,,
2000,9,12,45.7780,23.9990,24.9479,,
2000,9,13,69.6780,23.9990,24.9479,,
2000,9,14,57.3653,23.9990,24.9479,,
2000,9,15,68.9444,23.9990,24.9479,,
2000,9,16,60.7442,23.9990,24.9479,,
2000,9,17,51.1311,23.9990,24.9479,,
2000,9,18,63.5174,23.9990,24.9479,,
2000,9,19,72.5738,23.9990,24.9479,,
2000,9,20,72.0514,23.9990,24.9479,,
2000,9,21,73.6975,23.9990,24.9479,,
2000,9,22,74.2167,23.9990,24.9479,,
2000,9,23,65.8862,23.9990,24.9479,,
2000,9,24,46.8687,23.9990,24.9479,,
2000,9,25,73.2886,23.9990,24.9479,,
2000,9,26,73.5280,23.9990,24.9479,,
2000,9,27,51.1364,23.9990,24.9479,,
2000,9,28,65.2196,23.9990,24.9479,,
2000,9,29,71.5860,23.9990,24.9479,,
2000,9,30,42.2113,23.9990,24.9479,,
2000,10,1,53.8363,23.2190,23.3887,,
2000,10,2,39.6533,23.2190,23.3887,,
2000,10,3,65.4403,23.2190,23.3887,,
2000,10,4,69.8527,23.2190,23.3887,,
2000,10,5,55.1563,23.2190,23.3887,,
2000,10,6,60.4354,23.2190,23.3887,,
2000,10,7,45.6808,23.2190,23.3887,,
2000,10,8,46.1697,23.2190,23.3887,,
2000,10,9,57.6280,23.2190,23.3887,,
2000,10,10,49.3944,23.2190,23.3887,,
2000,10,11,51.7113,23.2190,23.3887,,
2000,10,12,54.9821,23.2190,23.3887,,
2000,10,13,49.8363,23.2190,23.3887,,
2000,10,14,45.5280,23.2190,23.3887,,
2000,10,15,44.4613,23.2190,23.3887,,
2000,10,16,40.1596,23.2190,23.3887,,
2000,10,17,50.8822,23.2190,23.3887,,
2000,10,18,50.2322,23.2190,23.3887,,
2000,10,19,44.4322,23.2190,23.3887,,
2000,10,20,44.6634,23.2190,23.3887,,
2000,10,21,42.4259,23.2190,23.3887,,
2000,10,22,35.3022,23.2190,23.3887,,
2000,10,23,52.7947,23.2190,23.3887,,
2000,10,24,51.5030,23.2190,23.3887,,
2000,10,25,53.6113,23.2190,23.3887,,
2000,10,26,42.2780,23.2190,23.3887,,
2000,10,27,37.0447,23.2190,23.3887,,
2000,10,28,40.3488,23.2190,23.3887,,
2000,10,29,28.8414,23.2190,23.3887,,
2000,10,30,47.0676,23.2190,23.3887,,
2000,10,31,49.6909,23.2190,23.3887,,
2000,11,1,53.6387,23.4420,24.0229,,
2000,11,2,48.1230,23.4420,24.0229,,
2000,11,3,55.2895,23.4420,24.0229,,
2000,11,4,45.2868,23.4420,24.0229,,
2000,11,5,37.9657,23.4420,24.0229,,
2000,11,6,39.6618,23.4420,24.0229,,
2000,11,7,45.8746,23.4420,24.0229,,
2000,11,8,64.6434,23.4420,24.0229,,
2000,11,9,43.8325,23.4420,24.0229,,
2000,11,10,44.3521,23.4420,24.0229,,
2000,11,11,46.4767,23.4420,24.0229,,
2000,11,12,36.8089,23.4420,24.0229,,
2000,11,13,30.9927,23.4420,24.0229,,
2000,11,14,47.7288,23.4420,24.0229,,
2000,11,15,39.7956,23.4420,24.0229,,
2000,11,16,60.1225,23.4420,24.0229,,
2000,11,17,42.5859,23.4420,24.0229,,
2000,11,18,36.9850,23.4420,24.0229,,
2000,11,19,29.8801,23.4420,24.0229,,
2000,11,20,47.3085,23.4420,24.0229,,
2000,11,21,66.0809,23.4420,24.0229,,
2000,11,22,43.4148,23.4420,24.0229,,
2000,11,23,47.5650,23.4420,24.0229,,
2000,11,24,38.4550,23.4420,24.0229,,
2000,11,25,39.2704,23.4420,24.0229,,
2000,11,26,36.9733,23.4420,24.0229,,
2000,11,27,46.1934,23.4420,24.0229,,
2000,11,28,48.4933,23.4420,24.0229,,
2000,11,29,46.6183,23.4420,24.0229,,
2000,11,30,51.5163,23.4420,24.0229,,
2000,12,1,68.0338,22.3510,23.4889,,
2000,12,2,46.6221,22.3510,23.4889,,
2000,12,3,34.3211,22.3510,23.4889,,
2000,12,4,47.5129,22.3510,23.4889,,
2000,12,5,56.1998,22.3510,23.4889,,
2000,12,6,64.3043,22.3510,23.4889,,
2000,12,7,56.7416,22.3510,23.4889,,
2000,12,8,44.4711,22.3510,23.4889,,
2000,12,9,44.5127,22.3510,23.4889,,
2000,12,10,40.9713,22.3510,23.4889,,
2000,12,11,63.3045,22.3510,23.4889,,
2000,12,12,57.7213,22.3510,23.4889,,
2000,12,13,50.3046,22.3510,23.4889,,
2000,12,14,60.4712,22.3510,23.4889,,
2000,12,15,52.8878,22.3510,23.4889,,
2000,12,16,53.3876,22.3510,23.4889,,
2000,12,17,50.4713,22.3510,23.4889,,
2000,12,18,54.3879,22.3510,23.4889,,
2000,12,19,51.2213,22.3510,23.4889,,
2000,12,20,55.6796,22.3510,23.4889,,
2000,12,21,57.5538,22.3510,23.4889,,
2000,12,22,57.0954,22.3510,23.4889,,
2000,12,23,57.2621,22.3510,23.4889,,
2000,12,24,60.8871,22.3510,23.4889,,
2000,12,25,54.5629,22.3510,23.4889,,
2000,12,26,59.3671,22.3510,23.4889,,
2000,12,27,62.4754,22.3510,23.4889,,
2000,12,28,66.9663,22.3510,23.4889,,
2000,12,29,66.0504,22.3510,23.4889,,
2000,12,30,64.9421,22.3510,23.4889,,
2000,12,31,57.0129,22.3510,23.4889,,
2001,1,1,48.8526,23.8480,24.5756,,
2001,1,2,55.5593,23.8480,24.5756,,
2001,1,3,55.5184,23.8480,24.5756,,
2001,1,4,63.0609,23.8480,24.5756,,
2001,1,5,55.0193,23.8480,24.5756,,
2001,1,6,54.7693,23.8480,24.5756,,
2001,1,7,57.5609,23.8480,24.5756,,
2001,1,8,53.4276,23.8480,24.5756,,
2001,1,9,53.1443,23.8480,24.5756,,
2001,1,10,55.8109,23.8480,24.5756,,
2001,1,11,58.6859,23.8480,24.5756,,
2001,1,12,55.5610,23.8480,24.5756,,
2001,1,13,70.3818,23.8480,24.5756,,
2001,1,14,61.0526,23.8480,24.5756,,
2001,1,15,78.6732,23.8480,24.5756,,
2001,1,16,78.6880,23.8480,24.5756,,
2001,1,17,81.8587,23.8480,24.5756,,
2001,1,18,95.5551,23.8480,24.5756,,
2001,1,19,100.0609,23.8480,24.5756,,
2001,1,20,66.2776,23.8480,24.5756,,
2001,1,21,57.1858,23.8480,24.5756,,
2001,1,22,83.1734,23.8480,24.5756,,
2001,1,23,87.0651,23.8480,24.5756,,
2001,1,24,80.5609,23.8480,24.5756,,
2001,1,25,88.3318,23.8480,24.5756,,
2001,1,26,87.8318,23.8480,24.5756,,
2001,1,27,74.5609,23.8480,24.5756,,
2001,1,28,57.2566,23.8480,24.5756,,
2001,1,29,83.0358,23.8480,24.5756,,
2001,1,30,92.3501,23.8480,24.5756,,
2001,1,31,97.9359,23.8480,24.5756,,
2001,2,1,89.8958,25.8430,26.9158,,
2001,2,2,94.8757,25.8430,26.9158,,
2001,2,3,76.9568,25.8430,26.9158,,
2001,2,4,61.6853,25.8430,26.9158,,
2001,2,5,80.8853,25.8430,26.9158,,
2001,2,6,86.2451,25.8430,26.9158,,
2001,2,7,80.1150,25.8430,26.9158,,
2001,2,8,78.5686,25.8430,26.9158,,
2001,2,9,83.7645,25.8430,26.9158,,
2001,2,10,79.9769,25.8430,26.9158,,
2001,2,11,73.5269,25.8430,26.9158,,
2001,2,12,82.4478,25.8430,26.9158,,
2001,2,13,88.8811,25.8430,26.9158,,
2001,2,14,96.8269,25.8430,26.9158,,
2001,2,15,88.8522,25.8430,26.9158,,
2001,2,16,92.5316,25.8430,26.9158,,
2001,2,17,93.7943,25.8430,26.9158,,
2001,2,18,70.6708,25.8430,26.9158,,
2001,2,19,93.0294,25.8430,26.9158,,
2001,2,20,106.1186,25.8430,26.9158,,
2001,2,21,100.8228,25.8430,26.9158,,
2001,2,22,96.0728,25.8430,26.9158,,
2001,2,23,97.3436,25.8430,26.9158,,
2001,2,24,88.5061,25.8430,26.9158,,
2001,2,25,76.9268,25.8430,26.9158,,
2001,2,26,88.1895,25.8430,26.9158,,
2001,2,27,82.4326,25.8430,26.9158,,
2001,2,28,79.2266,25.8430,26.9158,,
2001,3,1,79.5774,24.1440,25.0169,,
2001,3,2,84.7999,24.1440,25.0169,,
2001,3,3,79.9789,24.1440,25.0169,,
2001,3,4,66.6190,24.1440,25.0169,,
2001,3,5,93.4889,24.1440,25.0169,,
2001,3,6,83.0545,24.1440,25.0169,,
2001,3,7,87.7448,24.1440,25.0169,,
2001,3,8,87.5650,24.1440,25.0169,,
2001,3,9,84.8728,24.1440,25.0169,,
2001,3,10,74.1074,24.1440,25.0169,,
2001,3,11,66.1205,24.1440,25.0169,,
2001,3,12,82.5213,24.1440,25.0169,,
2001,3,13,83.0588,24.1440,25.0169,,
2001,3,14,82.1702,24.1440,25.0169,,
2001,3,15,82.5087,24.1440,25.0169,,
2001,3,16,79.5359,24.1440,25.0169,,
2001,3,17,75.4010,24.1440,25.0169,,
2001,3,18,58.8850,24.1440,25.0169,,
2001,3,19,56.1483,24.1440,25.0169,,
2001,3,20,63.8397,24.1440,25.0169,,
2001,3,21,58.3927,24.1440,25.0169,,
2001,3,22,51.3708,24.1440,25.0169,,
2001,3,23,59.5045,24.1440,25.0169,,
2001,3,24,59.2189,24.1440,25.0169,,
2001,3,25,55.0814,24.1440,25.0169,,
2001,3,26,59.0917,24.1440,25.0169,,
2001,3,27,57.7479,24.1440,25.0169,,
2001,3,28,59.4357,24.1440,25.0169,,
2001,3,29,58.3561,24.1440,25.0169,,
2001,3,30,56.4286,24.1440,25.0169,,
2001,3,31,62.7177,24.1440,25.0169,,
2001,4,1,59.1431,26.1290,26.9525,,
2001,4,2,58.0741,26.1290,26.9525,,
2001,4,3,61.7908,26.1290,26.9525,,
2001,4,4,62.7949,26.1290,26.9525,,
2001,4,5,65.6802,26.1290,26.9525,,
2001,4,6,63.9927,26.1290,26.9525,,
2001,4,7,66.1985,26.1290,26.9525,,
2001,4,8,63.1152,26.1290,26.9525,,
2001,4,9,69.8677,26.1290,26.9525,,
2001,4,10,70.2815,26.1290,26.9525,,
2001,4,11,70.2869,26.1290,26.9525,,
2001,4,12,60.0318,26.1290,26.9525,,
2001,4,13,54.5318,26.1290,26.9525,,
2001,4,14,58.9068,26.1290,26.9525,,
2001,4,15,60.0318,26.1290,26.9525,,
2001,4,16,64.5735,26.1290,26.9525,,
2001,4,17,67.2402,26.1290,26.9525,,
2001,4,18,67.1152,26.1290,26.9525,,
2001,4,19,67.9485,26.1290,26.9525,,
2001,4,20,66.5423,26.1290,26.9525,,
2001,4,21,67.6152,26.1290,26.9525,,
2001,4,22,66.1568,26.1290,26.9525,,
2001,4,23,68.3652,26.1290,26.9525,,
2001,4,24,70.8235,26.1290,26.9525,,
2001,4,25,71.4443,26.1290,26.9525,,
2001,4,26,76.9777,26.1290,26.9525,,
2001,4,27,81.1152,26.1290,26.9525,,
2001,4,28,79.7818,26.1290,26.9525,,
2001,4,29,75.3777,26.1290,26.9525,,
2001,4,30,78.4323,26.1290,26.9525,,
2001,5,1,64.5580,25.5970,24.9150,,
2001,5,2,67.6930,25.5970,24.9150,,
2001,5,3,64.1062,25.5970,24.9150,,
2001,5,4,60.5047,25.5970,24.9150,,
2001,5,5,47.0330,25.5970,24.9150,,
2001,5,6,46.3597,25.5970,24.9150,,
2001,5,7,51.4102,25.5970,24.9150,,
2001,5,8,56.0680,25.5970,24.9150,,
2001,5,9,53.8944,25.5970,24.9150,,
2001,5,10,58.8455,25.5970,24.9150,,
2001,5,11,53.5606,25.5970,24.9150,,
2001,5,12,53.9014,25.5970,24.9150,,
2001,5,13,51.0791,25.5970,24.9150,,
2001,5,14,53.1700,25.5970,24.9150,,
2001,5,15,51.8730,25.5970,24.9150,,
2001,5,16,50.8837,25.5970,24.9150,,
2001,5,17,45.7764,25.5970,24.9150,,
2001,5,18,48.0672,25.5970,24.9150,,
2001,5,19,44.9014,25.5970,24.9150,,
2001,5,20,44.9497,25.5970,24.9150,,
2001,5,21,41.5835,25.5970,24.9150,,
2001,5,22,44.9430,25.5970,24.9150,,
2001,5,23,47.7764,25.5970,24.9150,,
2001,5,24,44.9343,25.5970,24.9150,,
2001,5,25,41.8014,25.5970,24.9150,,
2001,5,26,42.9408,25.5970,24.9150,,
2001,5,27,39.9408,25.5970,24.9150,,
2001,5,28,40.1514,25.5970,24.9150,,
2001,5,29,41.6096,25.5970,24.9150,,
2001,5,30,47.8591,25.5970,24.9150,,
2001,5,31,47.9930,25.5970,24.9150,,
2001,6,1,49.1762,25.7920,26.0432,,
2001,6,2,48.0512,25.7920,26.0432,,
2001,6,3,47.5845,25.7920,26.0432,,
2001,6,4,45.3553,25.7920,26.0432,,
2001,6,5,42.8762,25.7920,26.0432,,
2001,6,6,39.7512,25.7920,26.0432,,
2001,6,7,38.6178,25.7920,26.0432,,
2001,6,8,43.9178,25.7920,26.0432,,
2001,6,9,47.3762,25.7920,26.0432,,
2001,6,10,48.1845,25.7920,26.0432,,
2001,6,11,47.4248,25.7920,26.0432,,
2001,6,12,45.0425,25.7920,26.0432,,
2001,6,13,44.3845,25.7920,26.0432,,
2001,6,14,43.0595,25.7920,26.0432,,
2001,6,15,43.0012,25.7920,26.0432,,
2001,6,16,43.2809,25.7920,26.0432,,
2001,6,17,42.3226,25.7920,26.0432,,
2001,6,18,41.4595,25.7920,26.0432,,
2001,6,19,42.3226,25.7920,26.0432,,
2001,6,20,40.6907,25.7920,26.0432,,
2001,6,21,40.0797,25.7920,26.0432,,
2001,6,22,36.7976,25.7920,26.0432,,
2001,6,23,37.1470,25.7920,26.0432,,
2001,6,24,38.4595,25.7920,26.0432,,
2001,6,25,39.9178,25.7920,26.0432,,
2001,6,26,41.3476,25.7920,26.0432,,
2001,6,27,40.8137,25.7920,26.0432,,
2001,6,28,44.9387,25.7920,26.0432,,
2001,6,29,46.7928,25.7920,26.0432,,
2001,6,30,40.5845,25.7920,26.0432,,
2001,7,1,38.8442,24.9480,24.7922,,
2001,7,2,38.2609,24.9480,24.7922,,
2001,7,3,40.3025,24.9480,24.7922,,
2001,7,4,42.1750,24.9480,24.7922,,
2001,7,5,46.5586,24.9480,24.7922,,
2001,7,6,41.1865,24.9480,24.7922,,
2001,7,7,40.7609,24.9480,24.7922,,
2001,7,8,39.4400,24.9480,24.7922,,
2001,7,9,41.6984,24.9480,24.7922,,
2001,7,10,40.0025,24.9480,24.7922,,
2001,7,11,40.6823,24.9480,24.7922,,
2001,7,12,41.1359,24.9480,24.7922,,
2001,7,13,38.9150,24.9480,24.7922,,
2001,7,14,36.6796,24.9480,24.7922,,
2001,7,15,38.5067,24.9480,24.7922,,
2001,7,16,39.9692,24.9480,24.7922,,
2001,7,17,36.8115,24.9480,24.7922,,
2001,7,18,38.1234,24.9480,24.7922,,
2001,7,19,40.2900,24.9480,24.7922,,
2001,7,20,37.3442,24.9480,24.7922,,
2001,7,21,38.5109,24.9480,24.7922,,
2001,7,22,34.4275,24.9480,24.7922,,
2001,7,23,37.5932,24.9480,24.7922,,
2001,7,24,57.2817,24.9480,24.7922,,
2001,7,25,40.4377,24.9480,24.7922,,
2001,7,26,37.1734,24.9480,24.7922,,
2001,7,27,36.7816,24.9480,24.7922,,
